test,raw ms,raw hit  %,u_at_base ms,u_at_base hit %,u_everywhere ms,u_everywhere hit %,u_unsound ms,u_unsound hit %,
bool_band,165,NaN,175,NaN,165,NaN,174,NaN,
bool_bor,163,NaN,168,NaN,159,NaN,173,NaN,
bool_impl,163,NaN,160,NaN,158,NaN,176,NaN,
bool_neg,159,NaN,160,NaN,154,NaN,178,NaN,
bool_xor,163,NaN,168,NaN,160,NaN,190,NaN,
append,232,0.11976,259,0,261,0,267,0,
list_compress,40118,0.374319,45063,0.314638,44627,0.314638,46739,0.314638,
list_concat,300,0.840108,298,0.831438,297,0.831438,307,0.831438,
drop,257,0.144554,337,0,333,0,363,0,
even_parity,252,0.269373,281,0,280,0,316,0,
list_filter,270,0.223862,379,0.063415,timeout,,442,0.063025,
list_fst,218,0.114583,213,0,241,0,214,0,
hd,190,NaN,183,NaN,196,NaN,192,NaN,
incify,252,0.273543,245,0.273543,250,0.273543,245,0.273543,
last,235,0.157407,238,0.027397,242,0.027397,259,0.027397,
length,215,0.136364,213,0,215,0,212,0,
map,260,0.183099,284,0.053613,timeout,,304,0.053613,
list_map_big,259,0.19863,293,0.066398,timeout,,315,0.066398,
list_map_big,265,0.19863,302,0.063462,timeout,,322,0.063462,
list_nth,344,0.166023,644,0,640,0,743,0,
rev,3381,0.92543,3430,0.918389,3242,0.918389,3226,0.918389,
rev,405,0.867299,402,0.864113,442,0.864113,416,0.864113,
rev,322,0.830992,315,0.822581,320,0.822581,315,0.822581,
snoc,236,0.143939,249,0.016129,254,0.016129,260,0.016129,
list_sort_sorted_insert,346,0.831497,346,0.819005,346,0.819005,352,0.819005,
list_sorted_insert,2643,0.334192,2903,0.223923,2880,0.223923,2929,0.223923,
stutter,215,0.12069,218,0,222,0,216,0,
sum,445,0.931964,444,0.931964,439,0.931964,441,0.931964,
tl,188,NaN,191,NaN,207,NaN,192,NaN,
take,269,0.150838,16486,0,16649,0,382,0,
list_tuple_sum,361,0.883648,373,0.854502,376,0.854502,382,0.854502,
list_tuple_swap,212,0.111111,220,0,219,0,219,0,
unzip,184,0.253623,198,0.127551,200,0.127551,206,0.127551,
div2,190,0.151042,202,0,215,0,200,0,
iseven,188,0.146199,195,0,197,0,196,0,
max,214,0.197917,220,0.197917,242,0.197917,219,0.197917,
pred,158,NaN,160,NaN,162,NaN,158,NaN,
sum,213,0.119565,206,0,210,0,206,0,
