test,raw ms,raw hit  %,u_at_base ms,u_at_base hit %,u_everywhere ms,u_everywhere hit %,u_unsound ms,u_unsound hit %
bool_band,0.175,0,0.165,0,0.174,0,0.165,0
bool_bor,0.168,0,0.159,0,0.173,0,0.163,0
bool_impl,0.16,0,0.158,0,0.176,0,0.163,0
bool_neg,0.16,0,0.154,0,0.178,0,0.159,0
bool_xor,0.168,0,0.16,0,0.19,0,0.163,0
append,0.259,0,0.261,0,0.267,0,0.232,12
list_compress,45.063,31.5,44.627,31.5,46.739,31.5,40.118,37.4
list_concat,0.298,83.1,0.297,83.1,0.307,83.1,0.3,84
drop,0.337,0,0.333,0,0.363,0,0.257,14.5
even_parity,0.281,0,0.28,0,0.316,0,0.252,26.9
list_filter,0.379,6.3,timeout,0,0.442,6.3,0.27,22.4
list_fst,0.213,0,0.241,0,0.214,0,0.218,11.5
hd,0.183,0,0.196,0,0.192,0,0.19,0
incify,0.245,27.4,0.25,27.4,0.245,27.4,0.252,27.4
last,0.238,2.7,0.242,2.7,0.259,2.7,0.235,15.7
length,0.213,0,0.215,0,0.212,0,0.215,13.6
map,0.284,5.4,timeout,0,0.304,5.4,0.26,18.3
list_map_big,0.293,6.6,timeout,0,0.315,6.6,0.259,19.9
list_map_big,0.302,6.3,timeout,0,0.322,6.3,0.265,19.9
list_nth,0.644,0,0.64,0,0.743,0,0.344,16.6
rev,3.43,91.8,3.242,91.8,3.226,91.8,3.381,92.5
rev,0.402,86.4,0.442,86.4,0.416,86.4,0.405,86.7
rev,0.315,82.3,0.32,82.3,0.315,82.3,0.322,83.1
snoc,0.249,1.6,0.254,1.6,0.26,1.6,0.236,14.4
list_sort_sorted_insert,0.346,81.9,0.346,81.9,0.352,81.9,0.346,83.1
list_sorted_insert,2.903,22.4,2.88,22.4,2.929,22.4,2.643,33.4
stutter,0.218,0,0.222,0,0.216,0,0.215,12.1
sum,0.444,93.2,0.439,93.2,0.441,93.2,0.445,93.2
tl,0.191,0,0.207,0,0.192,0,0.188,0
take,16.486,0,16.649,0,0.382,0,0.269,15.1
list_tuple_sum,0.373,85.5,0.376,85.5,0.382,85.5,0.361,88.4
list_tuple_swap,0.22,0,0.219,0,0.219,0,0.212,11.1
unzip,0.198,12.8,0.2,12.8,0.206,12.8,0.184,25.4
div2,0.202,0,0.215,0,0.2,0,0.19,15.1
iseven,0.195,0,0.197,0,0.196,0,0.188,14.6
max,0.22,19.8,0.242,19.8,0.219,19.8,0.214,19.8
pred,0.16,0,0.162,0,0.158,0,0.158,0
sum,0.206,0,0.21,0,0.206,0,0.213,12
